Harbour function list sorted by lib and name
from:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


lista de todas las funciones de harbour ordenadas por lib y nombre
obtenidas desde:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


Contrib     Description
Str                                               harbour
StrTran                                           harbour
StrZero                                           harbour
Stuff                                             harbour
SubStr                                            harbour
TApplyKey                                         harbour
TBAddCol                                          harbour
TBApplyKey                                        harbour
TBBBlock                                          harbour
TBClose                                           harbour
TBColumn                                          harbour
TBColumnNew                                       harbour
TBCreate                                          harbour
TBDelCol                                          harbour
TBDisplay                                         harbour
TBEditCell                                        harbour
TBFBlock                                          harbour
TBGoBot                                           harbour
TBGoTop                                           harbour
TBInsCol                                          harbour
TBModal                                           harbour
TBMouse                                           harbour
TBReader                                          harbour
TBSBlock                                          harbour
TBSkip                                            harbour
TBrowse                                           harbour
TBrowseDB                                         harbour
TBrowseNew                                        harbour
TString                                           harbour
Time                                              harbour
Tone                                              harbour
TopBar                                            harbour
Transform                                         harbour
Trim                                              harbour
Type                                              harbour
Updated                                           harbour
Upper                                             harbour
Used                                              harbour
Val                                               harbour
ValType                                           harbour
Version                                           harbour
Word                                              harbour
Year                                              harbour
_CHECKBOX_                                        harbour
_DBF                                              harbour
_GetNumCol                                        harbour
_IsGraphic                                        harbour
_LISTBOX_                                         harbour
_NatMsgVer                                        harbour
_NatSortVer                                       harbour
_PUSHBUTT_                                        harbour
_RADIOGRP_                                        harbour
_SetVideoMode                                     harbour
__Accept                                          harbour
__AcceptStr                                       harbour
__AtClear                                         harbour
